//Flight 0
//Date 2008/04/28
Random  Base1
  3.090833           51471.50 
  3.090972           51484.30 
  3.091111           51493.60 
  3.091250           51490.20 
  3.091389           51491.60 
  3.091528           51491.30 
  3.091667           51491.60 
  3.091806           51491.30 
  3.091944           51490.70 
  3.092083           51489.80 
  3.092222           51491.70 
  3.092361           51490.30 
  3.092500           51491.70 
  3.092639           51490.80 
  3.092778           51484.70 
  3.092917           51463.70 
  3.093056           51480.20 
  3.093194           51270.30 
  3.093333           51461.30 
  3.093472           51018.60 
  3.093611           51469.50 
  3.093750           51489.40 
  3.093889           51493.00 
  3.094028           51486.60 
  3.094167           51492.20 
  3.094306           51721.30 
  3.094444           51003.50 
  3.094583           50320.10 
  3.094722           51494.40 
  3.094861           51496.40 
  3.095000           51492.60 
  3.095139           51256.60 
  3.095278           51493.40 
  3.095417           51265.50 
  3.095556           51485.60 
  3.095694           51489.70 
  3.095833           51491.40 
  3.095972           51490.90 
  3.096111           51492.10 
  3.096250           51492.60 
  3.096389           51491.20 
  3.096528           51488.20 
  3.096667           51489.50 
  3.096806           51491.20 
  3.096944           51491.40 
  3.097083           51489.90 
  3.097222           51491.20 
  3.097361           51491.10 
  3.097500           51490.20 
  3.097639           51490.30 
  3.097778           51491.70 
  3.097917           51491.20 
  3.098056           51490.10 
  3.098194           51492.00 
  3.098333           51492.60 
  3.098472           51028.80 
  3.098611           51499.10 
  3.098750           51479.50 
  3.098889           51483.90 
  3.099028           51491.90 
  3.099167           51492.50 
  3.099306           51473.00 
  3.099444           50516.00 
  3.099583           51471.30 
  3.099722           51481.40 
  3.099861           51491.30 
  3.100000           51491.80 
  3.100139           51492.60 
  3.100278           51491.10 
  3.100417           51491.40 
  3.100556           51490.50 
  3.100694           51491.70 
  3.100833           51491.10 
  3.100972           51490.80 
  3.101111           50284.90 
  3.101250           49053.50 
  3.101389           54644.40 
  3.101528           53789.10 
  3.101667           54684.70 
  3.101806           46409.20 
  3.101944           48453.30 
  3.102083           43697.30 
  3.102222           44447.20 
  3.102361           44932.80 
  3.102500           44907.30 
  3.102639           44916.40 
  3.102778           44938.00 
  3.102917           44939.20 
  3.103056           44937.10 
  3.103194           51490.60 
  3.103333           51491.30 
  3.103472           51491.10 
  3.103611           51491.70 
  3.103750           51490.80 
  3.103889           51499.80 
  3.104028           51240.40 
  3.104167           51015.10 
  3.104306           50074.90 
  3.104444           54014.00 
  3.104583           42551.40 
  3.104722           39465.70 
  3.104861           42119.60 
  3.105000           44319.20 
  3.105139           40299.70 
  3.105278           42768.60 
  3.105417           41770.10 
  3.105556           44939.50 
  3.105694           44711.00 
  3.105833           44456.80 
  3.105972           48888.50 
  3.106111           47124.20 
  3.106250           46269.20 
  3.106389           47196.10 
  3.106528           50394.60 
  3.106667           48541.20 
  3.106806           48363.60 
  3.106944           49137.60 
  3.107083           47314.80 
  3.107222           48435.80 
  3.107361           50082.80 
  3.107500           51463.80 
  3.107639           51241.80 
  3.107778           51227.90 
  3.107917           51495.40 
  3.108056           51494.00 
  3.108194           51259.80 
  3.108333           51489.60 
  3.108472           51492.20 
  3.108611           51490.60 
  3.108750           51491.40 
  3.108889           51489.40 
  3.109028           51488.30 
  3.109167           51491.50 
  3.109306           51692.40 
  3.109444           48639.80 
  3.109583           50231.40 
  3.109722           51003.20 
  3.109861           51166.90 
  3.110000           50317.20 
  3.110139           51262.30 
  3.110278           53607.40 
  3.110417           51411.00 
  3.110556           49438.20 
